"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Acceptable PM2.5 AQI & Speciation Mass","Ozone","PM2.5","PM2.5 - Local Conditions"
2018-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,47.5,NA
2018-01-17,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,38,NA
2018-01-17,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,NA,19,NA
2018-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,51,NA
2018-01-17,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,29,56,NA
2018-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,48.5,NA
2018-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,66,NA
2018-01-18,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,48,NA
2018-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,30,NA
2018-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,40,NA
2018-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,45,NA
2018-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,31,40,NA
2018-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,35,NA
2018-01-18,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,31,NA
2018-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,34,NA
2018-01-18,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,35,54,NA
2018-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,38,NA
2018-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,50,NA
2018-01-19,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,52,NA
2018-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,54,NA
2018-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,57,NA
2018-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,22,49,NA
2018-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,43,NA
2018-01-19,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,25,NA
2018-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,37,NA
2018-01-19,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,32,55,NA
2018-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,34,NA
2018-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,42,NA
2018-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,51,NA
2018-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,21,NA
2018-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,63,NA
2018-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,45,NA
2018-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,NA,6,NA
2018-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,32,43,NA
2018-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,36,NA
2018-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,28,NA
2018-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,NA,8,NA
2018-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,38,NA
2018-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,35,50,NA
2018-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,41,NA
2018-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,40,NA
2018-01-21,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,50,NA
2018-01-21,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,48,NA
2018-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,44,NA
2018-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,36,53,NA
2018-01-21,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,49,NA
2018-01-21,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,22,NA
2018-01-21,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,34,NA
2018-01-21,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,34,51,NA
2018-01-21,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,35,NA
2018-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,43,NA
2018-01-22,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,48,NA
2018-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,25,NA
2018-01-22,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,58,NA
2018-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,59,NA
2018-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,37,57,NA
2018-01-22,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,52,NA
2018-01-22,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,40,NA
2018-01-22,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,51,NA
2018-01-22,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,32,59,NA
2018-01-22,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,39,NA
2018-01-22,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,57,NA
2018-01-23,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,17,NA
2018-01-23,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,8,NA
2018-01-23,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,25,NA
2018-01-23,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,18.5,NA
2018-01-23,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,NA,11,NA
2018-01-23,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,36,15.5,NA
2018-01-23,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,20,NA
2018-01-23,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,13,NA
2018-01-23,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,NA,10,NA
2018-01-23,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,19,NA
2018-01-23,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,37,20.5,NA
2018-01-23,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,16,NA
2018-01-23,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,15,NA
2018-01-24,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,18,NA
2018-01-24,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,7,NA
2018-01-24,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,16,NA
2018-01-24,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,26,NA
2018-01-24,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,28,22,NA
2018-01-24,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,15,NA
2018-01-24,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,3,NA
